Title,Author,ISBN,branch_counts
'round the corner,"bright, vonette z.",0786287497,"{""cen"": 1}"
'scuse me while i kiss the sky : jimi hendrix : voodoo child,"henderson, david, 1942-",0743274008,"{""cen"": 1, ""dth"": 1}"
'scuse me while i kiss the sky : the life of jimi hendrix,"henderson, david, 1942-",0553013343,"{""cen"": 3}"
'scuse me while i kiss the sky : the life of jimi hendrix,"henderson, david, 1942-",055337785X,"{""cen"": 1, ""dth"": 1}"
'the history of ashanti kings and the whole country itself' and other writings,"prempeh i, king of ashanti, 1870-1931",0197264158,"{""cen"": 2}"
'the men of 1914' : t.s. eliot and early modernism,"svarny, erik",0335090192,"{""cen"": 1}"
'the world's most prestigious prize' : the inside story of the nobel peace prize,"lundestad, geir, 1945-",0198841876,"{""cen"": 2}"
'til death,"perry, carol j.",1496731433,"{""cap"": 1, ""cen"": 1}"
'til death do us part,"quick, amanda",039917446X,"{""cen"": 1, ""dlr"": 1}"
'til death or distance do us part : marriage and the making of african america,"foster, frances smith",0195328523,"{""dth"": 1}"
'til dirt do us part,"maxwell, edith",0758284640,"{""cen"": 1}"
'til heist do us part,"desai, sara",0593641310,"{""bal"": 1, ""cen"": 2, ""col"": 1, ""hip"": 1, ""lcy"": 1, ""mon"": 1, ""net"": 1, ""swt"": 1}"
'til i want no more : a novel,"pearson, robin w.",1496441575,"{""dth"": 1, ""net"": 1}"
